title,ingredients,instructions,cuisine,servings,time_minutes,ingredient_list
Salmon Udon Skillet (Style 2),"salmon, udon, seaweed, mushroom, carrot, cabbage, sesame, soy sauce, vegetable oil","Brown salmon in vegetable oil, add seaweed and sesame, fold in udon, cook until done.",Japanese,6,32,300g salmon; 3 udon; 1 seaweed; 2 mushroom; 3 carrot; 3 cabbage; 3 sesame; 3 soy sauce; 2 tbsp vegetable oil
Turkey Rice Skillet (Style 2),"turkey, rice, lettuce, mushroom, paprika, butter","Brown turkey in butter, add lettuce and paprika, fold in rice, cook until done.",American,4,24,1 turkey; 250g rice; 3 lettuce; 3 mushroom; 1 paprika; 1 tbsp butter
Chickpeas Bulgur Bowl (Style 3),"chickpeas, bulgur, tomato, olive, eggplant, cucumber, mint, parsley, yogurt","Cook bulgur, top with seared chickpeas, fresh tomato, and a drizzle of yogurt.",Mediterranean,3,30,2 chickpeas; 300g bulgur; 2 tomato; 1 olive; 1 eggplant; 2 cucumber; 1 mint; 3 parsley; 2 cup yogurt
Chickpeas Couscous Curry (Style 3),"chickpeas, couscous, onion, cucumber, olive, lemon, garlic, parsley, yogurt","Saute lemon, add chickpeas and onion, simmer in sauce until tender, serve over couscous.",Mediterranean,6,36,2 chickpeas; 250g couscous; 2 onion; 2 cucumber; 2 olive; 3 lemon; 4 cloves garlic; 1 parsley; 2 cup yogurt
Pork Rice Pasta,"pork, rice, tomato, avocado, lettuce, cumin, olive oil","Boil rice, saute pork with cumin, toss with tomato and olive oil.",Mexican,6,24,150g pork; 300g rice; 2 tomato; 3 avocado; 2 lettuce; 1 cumin; 1 tbsp olive oil
Pork Noodles Tacos,"pork, noodles, broccoli, carrot, garlic, sesame oil, peanut oil","Cook pork with garlic, load into noodles with broccoli and peanut oil.",Chinese,6,23,300g pork; 200g noodles; 3 broccoli; 1 carrot; 4 cloves garlic; 2 tsp sesame oil; 2 peanut oil
Egg Taco Shells Wrap,"egg, taco shells, avocado, onion, jalapeno, garlic, lime, olive oil","Fill taco shells with egg, avocado, and olive oil, season with garlic, roll and serve.",Mexican,4,10,2 egg; 3 taco shells; 2 avocado; 1 onion; 1 jalapeno; 3 cloves garlic; 1 lime; 3 tbsp olive oil
White Beans Couscous Tacos,"white beans, couscous, olive, spinach, parsley, mint, lemon, yogurt","Cook white beans with parsley, load into couscous with olive and yogurt.",Mediterranean,6,30,1 white beans; 300g couscous; 2 olive; 1 spinach; 1 parsley; 1 mint; 2 lemon; 1 cup yogurt
Pork Corn Skillet (Style 3),"pork, corn, onion, jalapeno, lettuce, lime, cumin, garlic, cheese","Brown pork in cheese, add onion and lime, fold in corn, cook until done.",Mexican,2,28,250g pork; 2 corn; 1 onion; 1 jalapeno; 3 lettuce; 2 lime; 3 cumin; 3 cloves garlic; 2 cup cheese
Lamb Rice Bowl (Style 2),"lamb, rice, eggplant, cucumber, spinach, parsley, feta","Cook rice, top with seared lamb, fresh eggplant, and a drizzle of feta.",Mediterranean,3,24,200g lamb; 400g rice; 2 eggplant; 3 cucumber; 1 spinach; 2 parsley; 200g feta
